公司名称,食品名称,食品ID
獐子岛集团股份有限公司,花蛤罐头（香辣味）,3287069
獐子岛集团股份有限公司,扇贝罐头（香辣味）,3287067
獐子岛集团股份有限公司,蒜蓉花蛤罐头,3287057
獐子岛集团股份有限公司,蒜蓉粉丝虾夷扇贝（速冻生制品）,3280905
獐子岛集团股份有限公司,虾夷全贝-香辣,3280319
獐子岛集团股份有限公司,扇贝裙边(香辣),3187225
獐子岛集团股份有限公司,海鲜饺子馅（速冻生制品）,2791777
獐子岛集团股份有限公司,花菇鲍鱼（速冻熟制）,2791739
獐子岛集团股份有限公司,香辣扇贝裙边（熟制动物性水产制品）,2403307
獐子岛集团股份有限公司,扇贝,1278497
獐子岛集团股份有限公司,蟹酱罐头,2291447
獐子岛集团股份有限公司,带鱼罐头,2291441
獐子岛集团股份有限公司,冻半壳虾夷扇贝,2288845
獐子岛集团股份有限公司,蛤蜊,2004473
獐子岛集团股份有限公司,蛏子,2004467
獐子岛集团股份有限公司,花蛤,2004443
獐子岛集团股份有限公司,虾夷全贝（原味）,1896369
獐子岛集团股份有限公司,蒜蓉粉丝扇贝（速冻生制）,432449
獐子岛集团股份有限公司,冻半壳虾夷扇贝（速冻生制）,1441777
獐子岛集团股份有限公司,冻半壳虾夷扇贝（速冻生制）,1321627
獐子岛集团股份有限公司,冻半壳虾夷扇贝（速冻生制）,1321625
獐子岛集团股份有限公司,冻半壳虾夷扇贝,1130047
獐子岛集团股份有限公司,冻煮全贝,958255
獐子岛集团股份有限公司,三鲜饺子馅（猪肉、海参、虾仁）（速冻生制）,915425
獐子岛集团股份有限公司,佛跳墙（速冻熟制）,915421
獐子岛集团股份有限公司,虾仁（速冻生制）,915419
獐子岛集团股份有限公司,口口虾夷全贝—香辣味,915211
獐子岛集团股份有限公司,口口虾夷全贝—鲜味,915199
獐子岛集团股份有限公司,口口太极虾—鲜味,915197
獐子岛集团股份有限公司,紫海胆罐头,165599
獐子岛集团股份有限公司,鱼籽罐头（照烧口味）,877921
獐子岛集团股份有限公司,虾夷海胆罐头,877893
獐子岛集团股份有限公司,汤汁,545411
獐子岛集团股份有限公司,虾夷扇贝（香辣味）,792753
獐子岛集团股份有限公司,盐渍海参（≤40头）,714973
獐子岛集团股份有限公司,盐渍海参（≤80头）,714953
獐子岛集团股份有限公司,花蛤（香辣味）,611667
獐子岛集团股份有限公司,盐渍海参（3#）,545271
獐子岛集团股份有限公司,口口太极虾-鲜味,510347
獐子岛集团股份有限公司,口口虾夷全贝-鲜味,510345
獐子岛集团股份有限公司,鲍菇扇贝（香辣）,510337
獐子岛集团股份有限公司,即食海参,56885
獐子岛集团股份有限公司,即食海参,56883
獐子岛集团股份有限公司,即食海参（40g）,56871
山东东方海洋科技股份有限公司,三文鱼块（速冻生制品）,1196961
山东东方海洋科技股份有限公司,真鳕鱼块（速冻生制品）,853395
山东东方海洋科技股份有限公司,真鳕鱼块(速冻生制品),853071
福建圣农发展股份有限公司,九块鸡,1420643
福建圣农发展股份有限公司,90汉堡腿肉,3713303
福建圣农发展股份有限公司,鸡胸肉,194797
福建圣农发展股份有限公司,长豆（豇豆）,3645617
福建圣农发展股份有限公司,吉大老母鸡,3625521
福建圣农发展股份有限公司,吉大三黄鸡,3638279
福建圣农发展股份有限公司,单冻翅根,1361713
福建圣农发展股份有限公司,鸡腿,1125391
福建圣农发展股份有限公司,鸡翅边肉,1244141
福建圣农发展股份有限公司,辣翅用翅根（鸡肉）,3200951
福建圣农发展股份有限公司,九块鸡,1420643
福建圣农发展股份有限公司,烤翅用翅根（鸡肉）,3632169
福建圣农发展股份有限公司,冷冻去皮鸡胸肉,1391521
福建圣农发展股份有限公司,鸡胸肉,194797
福建圣农发展股份有限公司,辣翅用翅中（鸡肉）,3633359
福建圣农发展股份有限公司,90汉堡腿肉（鸡肉）,3633357
福建圣农发展股份有限公司,鸡翅根,1444755
福建圣农发展股份有限公司,鸡琵琶腿,1522073
福建圣农发展股份有限公司,吉大散养土鸡,3625533
福建圣农发展股份有限公司,老鸡全腿（450-700克）,3620029
福建圣农发展股份有限公司,吉大分边小黄鸡,3613063
福建圣农发展股份有限公司,吉大泽仔鸭,3613053
福建圣农发展股份有限公司,单冻鸡肫,666083
福建圣农发展股份有限公司,鲜鸡胸肉（康）,3601319
福建圣农发展股份有限公司,冻鸡腿（康）,3601311
福建圣农发展股份有限公司,圣农单冻翅根(鸡肉）,3594871
福建圣农发展股份有限公司,鸡翅中,858011
福建圣农发展股份有限公司,单冻琵琶腿（鸡肉）,526747
福建圣农发展股份有限公司,鸡腿排,3579149
福建圣农发展股份有限公司,单冻琵琶腿(鸡腿),3579133
