獐子岛集团股份有限公司,扇贝,1278497,北京盛江恒丽商贸有限公司,北京,/,2020-08-23,计量称重	,合格
獐子岛集团股份有限公司,扇贝,1278497,上海市宝山区董江华水产行,上海,/,2019-07-03,散装称重,合格
獐子岛集团股份有限公司,蛤蜊,2004473,徐春梅,山东省,/,2020-06-27,散装称重,合格
獐子岛集团股份有限公司,蛏子,2004467,徐春梅,山东省,/,2020-06-27,散装称重,合格
獐子岛集团股份有限公司,花蛤,2004443,徐春梅,山东省,/,2020-06-27,散装称重,合格
山东东方海洋科技股份有限公司,三文鱼块（速冻生制品）,1196961,烟台市东参源商贸有限责任公司,山东,烟台市莱山区澳柯玛大街18号,2018-01-03,500克/盒,合格
山东东方海洋科技股份有限公司,真鳕鱼块（速冻生制品）,853395,山东东方海洋科技股份有限公司,山东,烟台市莱山区澳柯玛大街18号,2017-12-20,400克/盒,合格
山东东方海洋科技股份有限公司,真鳕鱼块(速冻生制品),853071,山东东方海洋科技股份有限公司,山东,烟台市莱山区澳柯玛大街18号,2017-12-20,400克/盒,合格
福建圣农发展股份有限公司,九块鸡,1420643,百胜餐饮（广东）有限公司肇庆肯德基伴月路餐厅,/,福建省光泽县十里铺,2023-03-07,2.16千克/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,百胜餐饮（福州）有限公司肯德基福州北二环餐厅,福建,福建省光泽县十里铺,2023-06-12,2.16千克/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,百胜餐饮（福州）有限公司肯德基软件大道餐厅,/,福建省光泽县十里铺,2023-06-08,2.16千克/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,百胜餐饮（福州）有限公司肯德基福州万达餐厅,福建省,福建省光泽县十里铺,2023-05-14,2.16千克/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,约克食品餐饮（福清）有限公司南平建阳万达店,福建,福建省光泽县十里铺,2022-04-17,2只/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,长沙肯德基有限公司常德水星楼店,湖南,福建省光泽县十里铺,2021-06-09,2只/袋,合格
福建圣农发展股份有限公司,九块鸡,1420643,百胜餐饮（福州）有限公司肯德基永安诚上广场餐厅,福建,福建省光泽县十里铺,2019-08-28,2只/袋（2只18块）,合格
福建圣农发展股份有限公司,90汉堡腿肉,3713303,百胜餐饮（广东）有限公司肇庆好世界餐厅,/,福建省光泽县十里铺,2023-03-29,18片/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福建吉马经贸有限公司钟法路购物商场,福建省,福建省光泽县十里铺,/,500克/包,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福建船政交通职业学院（教工食堂）,/,福建省光泽县十里铺,2023-08-17,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,沃尔玛（湖北）商业零售有限公司武汉南湖花园分店,湖北,福建省光泽县十里铺,2023-06-01,500g/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,连江县丹阳镇雷云英食杂店,/,福建省光泽县十里铺,2023-03-23,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,沃尔玛（福建）商业零售有限公司莆田涵江分店,福建,福建省光泽县十里铺,2023-05-17,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,玉田县陈家铺乡利洪便利店,/,福建省光泽县十里铺,2023-05-12,1kg/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福建泉州闽都好生活商业管理有限公司,福建,福建省光泽县十里铺,2023-03-08,/,合格
福建圣农发展股份有限公司,鸡胸肉,194797,长乐大润发商业有限公司,福建,福建省光泽县十里铺,2023-03-07,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,贵州华联综合超市有限公司第二分公司,/,福建省光泽县十里铺,2022-06-17,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福州朴朴电子商务有限公司鼓楼区八一七中路分店,福建,福建省光泽县十里铺,2022-10-23,500g/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,永辉超市股份有限公司福建福州大儒世家超市,福建,福建省光泽县十里铺,2022-10-23,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,沃尔玛（湖北）商业零售有限公司仙桃黄金大道分店,湖北,福建省光泽县十里铺,2022-07-07,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,广州市朴朴网络科技有限公司,广东,福建省光泽县十里铺,2022-04-16,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福建永辉超市有限公司莆田市水韵城店,福建,福建省光泽县十里铺,2022-04-11,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福建永辉超市有限公司莆田市仙游滨江嘉苑店,福建,福建省光泽县十里铺,2022-04-21,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,江西财富广场有限公司冠寓店,江西,福建省光泽县十里铺,2022-04-11,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福州朴朴电子商务有限公司闽侯县分公司,福建,福建省光泽县十里铺,2021-08-28,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福州市福购多超市管理有限公司福清音西分公司,福建,福建省光泽县十里铺,2021-09-16,/,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福清市江阴福百佳昌龙超市有限公司,福建,福建省光泽县十里铺,2021-09-05,/,合格
福建圣农发展股份有限公司,鸡胸肉,194797,云霄县双溪口润购超市,福建,福建省光泽县十里铺,/,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,上海每日优鲜电子商务有限公司,上海,福建省光泽县十里铺,2021-08-02,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,沃尔玛（湖北）商业零售有限公司孝感市长征路分店,湖北,福建省光泽县十里铺,/,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,泉州新华都购物广场有限公司惠安崇武店,/,福建省光泽县十里铺,2021-06-06,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福建永辉超市有限公司莆田市荔城区巨岸幸福城店,福建,福建省光泽县十里铺,2021-06-11,500克/包,合格
福建圣农发展股份有限公司,鸡胸肉,194797,武汉盒马网络科技有限公司螃蟹岬分公司,湖北,福建省光泽县十里铺,2021-05-13,500克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,福建海底鲜食品科技有限公司,福建,福建省光泽县十里铺,2020-07-24,10kg/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,南安市码头大家族食杂店,福建,福建省光泽县十里铺,2021-01-14,散称,合格
福建圣农发展股份有限公司,鸡胸肉,194797,龙岩新华都购物广场有限公司武平东方店,,福建省光泽县十里铺,2020-10-09,散装称重,合格
福建圣农发展股份有限公司,鸡胸肉,194797,龙海市石码小李冷冻食品店,福建,福建省光泽县十里铺,2019-08-22,散装,合格
福建圣农发展股份有限公司,鸡胸肉,194797,石狮市嘉辉超市,福建,福建省光泽县十里铺,2019-08-21,/,合格
福建圣农发展股份有限公司,鸡胸肉,194797,晋江市池店镇书明冷冻食品商行,福建,福建省光泽县十里铺,2019-10-23,1kg,合格
福建圣农发展股份有限公司,鸡胸肉,194797,厦门元初食品股份有限公司水晶湖郡店,福建,福建省光泽县十里铺,/,400g/盒,合格
福建圣农发展股份有限公司,鸡胸肉,194797,广州康诚商业有限公司,广东,福建省光泽县十里铺,/,350克/袋,合格
福建圣农发展股份有限公司,鸡胸肉,194797,沃尔玛（大连）商业零售有限公司,辽宁,福建省光泽县十里铺,2016-05-27,500g/袋,合格
福建圣农发展股份有限公司,长豆（豇豆）,3645617,宁化夏商百货有限公司,,福建省光泽县十里铺,2023-07-28,1kg/袋,合格
福建圣农发展股份有限公司,吉大老母鸡,3625521,江西国光商业连锁股份有限公司吉水店,江西,福建省光泽县十里铺,2023-07-21,/,合格
福建圣农发展股份有限公司,吉大老母鸡,3625521,江西国光商业连锁股份有限公司万安店,江西,福建省光泽县十里铺,2023-07-13,/,合格
福建圣农发展股份有限公司,吉大三黄鸡,3638279,江西国光商业连锁股份有限公司吉水店,江西,福建省光泽县十里铺,2023-07-21,/,合格
福建圣农发展股份有限公司,单冻翅根,1361713,尤溪县洋中桂祥超市,福建,福建省光泽县十里铺,2023-06-17,1千克/包,合格
福建圣农发展股份有限公司,单冻翅根,1361713,厦门市思明区思味美冻品店,/,福建省光泽县十里铺,/,1千克/包,合格
福建圣农发展股份有限公司,单冻翅根,1361713,华润万家生活超市（广州）有限公司天河东店,广东,福建省光泽县十里铺,2022-08-23,1千克/袋,合格
福建圣农发展股份有限公司,单冻翅根,1361713,安溪县城厢易佳好食品店,福建,福建省光泽县十里铺,2022-08-11,1千克/袋,合格
福建圣农发展股份有限公司,单冻翅根,1361713,福建省莆田市城厢区龙桥街道雷山路39号,福建,福建省光泽县十里铺,2022-05-28,1kg/袋,合格
福建圣农发展股份有限公司,单冻翅根,1361713,平潭二期惠购生鲜超市,/,福建省光泽县十里铺,2022-06-24,1kg/袋,合格
福建圣农发展股份有限公司,单冻翅根,1361713,仙游县鲤城和润生鲜超市,福建,福建省光泽县十里铺,2021-11-23,1kg/袋,合格
福建圣农发展股份有限公司,单冻翅根,1361713,平潭联合万家超市发展有限公司华厦店,福建,福建省光泽县十里铺,2022-03-06,1kg/袋,合格
福建圣农发展股份有限公司,单冻翅根,1361713,惠安县福和兴便利店,福建,福建省光泽县十里铺,2021-06-02,1kg/袋,合格
福建圣农发展股份有限公司,单冻翅根,1361713,惠安县辋川芈兴购物广场,福建,福建省光泽县十里铺,2021-06-23,1kg/袋,合格
福建圣农发展股份有限公司,单冻翅根,1361713,晋江市内坑镇明亿购生鲜超市,福建,福建省光泽县十里铺,2021-04-05,/,合格
福建圣农发展股份有限公司,单冻翅根,1361713,惠安县净峰镇盈泰便利店,福建,福建省光泽县十里铺,2021-06-01,1kg/袋,合格
福建圣农发展股份有限公司,单冻翅根,1361713,莆田市城厢区东海谢金仁食品店,福建,福建省光泽县十里铺,2020-09-27,/,合格
福建圣农发展股份有限公司,单冻翅根,1361713,南平市建阳区鸿锦园餐饮店,福建,福建省光泽县十里铺,2019-11-21,1kg/包,合格
福建圣农发展股份有限公司,单冻翅根,1361713,南平市建阳区博文餐饮管理有限公司,福建,福建省光泽县十里铺,/,散装,合格
福建圣农发展股份有限公司,单冻翅根,1361713,永春县坑仔口镇新聚龙百货店,福建,福建省光泽县十里铺,2019-07-19,1千克/袋,合格
福建圣农发展股份有限公司,鸡腿,1125391,尤溪县洋中桂祥超市,福建,福建省光泽县十里铺,2023-06-08,/,合格
福建圣农发展股份有限公司,鸡腿,1125391,仙游县鲤城国雄冷冻食品经营店,福建,福建省光泽县十里铺,2020-07-20,/,合格
福建圣农发展股份有限公司,鸡腿,1125391,萍乡市湘东区福乐购百货超市新街店,江西,福建省光泽县十里铺,2019-08-31,散装,合格
福建圣农发展股份有限公司,鸡翅边肉,1244141,百胜餐饮（福州）有限公司肯德基长乐区郑和中路餐厅,/,福建省光泽县十里铺,2023-07-31,900g/袋,合格
福建圣农发展股份有限公司,鸡翅边肉,1244141,百胜餐饮（福州）有限公司肯德基福州万达餐厅,福建省,福建省光泽县十里铺,2023-06-09,900g/袋,合格
