城市,标题,房源信息描述,房源位置信息,单价,房总款
北京,"(店长力荐)急售,法式精装独栋,客厅挑空,有电梯双车库",独栋|卧室：7个|515.32㎡|南向|赵新新,凯德麓语昌平其它-京承高速G11出口向西怀昌路北侧,27148元/㎡,1399万
北京,"精装D户型,三间南向套房,装修维护好,看房有钥匙",独栋|卧室：6个|300.01㎡|南向|周岩,御汤山小汤山-御汤山,52998元/㎡,1590万
北京,"熙园H户型豪装,8米挑空客厅,私家电梯入户,小区中心位置",独栋|卧室：6个|420.75㎡|南向|赵新新,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,63695元/㎡,2680万
北京,"凯德新出,法式精装独栋,前二后三户型,全明格局",独栋|卧室：7个|518.05㎡|南向|赵新新,凯德麓语昌平其它-京承高速G11出口向西怀昌路北侧,30498元/㎡,1580万
北京,"四期廊院东边户纯地上两层,南花园400平米,户型方正采光好",独栋|卧室：3个|391.75㎡|南向|纪倩倩,纳帕溪谷小汤山-小汤山镇顺沙路68号(近葫芦河),44671元/㎡,1750万
北京,"御汤山,新出豪装H户型,北入户(东南绿地500平)朝南双客厅",独栋|卧室：5个|417.85㎡|北向|赵新新,御汤山小汤山-御汤山,52650元/㎡,2200万
北京,"熙园新出,精装大独栋,次邻湖,南客厅挑高,园区内边户",独栋|卧室：9个|355.22㎡|南向|李开敏,"御汤山熙园小汤山-北京市昌平区小汤山北,顺沙路近秦上路",64185元/㎡,2280万
北京,"园区中心位置,法式I户型,子母房设计,绿地450平米,有钥匙",独栋|卧室：4个|375.27㎡|南向|赵新新,御汤山小汤山-御汤山,45274元/㎡,1699万
北京,"望京北现房独栋,南北围合绿地420平)实景现房温泉入户就一套",独栋|卧室：5个|410㎡|南向|陈鹏,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,46097元/㎡,1890万
北京,围观!全北京男神女神都在等的N户型!!空间力无穷大,独栋|卧室：5个|526㎡|南向|刘纪峰,格拉斯小镇通州其它-格拉斯路与滨河路交叉点东南角,77946元/㎡,4100万
北京,"揭秘!神级豪宅独院竟然是如此炼成,忍不住看了一百遍!!!",独栋|卧室：5个|400㎡|南向|刘纪峰,格拉斯小镇通州其它-格拉斯路与滨河路交叉点东南角,52500元/㎡,2100万
北京,"御汤山熙园豪装样板间,急售1688万,大哥户型,花园大",独栋|卧室：5个|421㎡|北向|李开敏,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,40095元/㎡,1688万
北京,"这大概就是全北京最值得买的叠拼了,1200多万,叠拼圈顶端?",独栋|卧室：4个|260㎡|南向|刘纪峰,格拉斯小镇通州其它-格拉斯路与滨河路交叉点东南角,51923元/㎡,1350万
北京,"首开现房别墅,996万505平米边户上叠,交房有地暖室内电梯",4室2厅|505㎡|中层（共5层）|南北向|2017年建|胥自强,富力首开·金禧璞瑅顺义其它-高白路与九厂路交叉口西,19762元/㎡,998万
北京,"97下跃 使用230平 407万,户型方正,房源有限先到先得",3室2厅|95㎡|高层（共6层）|南向|2016年建|刘克学,和锦华宸马坡-乾安路与大营二街交汇处,42842元/㎡,407万
北京,二期边户独栋!大院576坪!室内使用450!有电梯井可电梯!,独栋|卧室：5个|432㎡|南向|王艳茹,保利垄上小汤山-立汤路9号,34259元/㎡,1480万
北京,"我老业主的房子,带产权车位",3室2厅|174.06㎡|高层（共14层）|南北向|2014年建|杨慢慢,"招商嘉铭珑原立水桥-奥林匹克公园北侧,清河路清河湾高尔夫球场东侧",89049元/㎡,1550万
北京,"新上大面宽下叠,4室下叠,三房朝南,客厅朝南,南北院满二",独栋|卧室：4个|243.83㎡|南向|周岩,金隅上城郡北七家-(昌平)北亚花园东路,48394元/㎡,1180万
北京,"北五环远洋傲北电梯别墅,精装修,全屋智能配置,拎包入住。",独栋|卧室：7个|374.07㎡|南向|周岩,远洋傲北别墅北七家-北七家立汤路39号,42238元/㎡,1580万
北京,周末必看 观承大家 三卧朝南 私家电梯 独门独院 省钱找我,独栋|卧室：4个|300㎡|南向|连海潮,观承别墅大家后沙峪-观承别墅区接待中心(京承高速8号出口),40666元/㎡,1220万
北京,"新出(采光超棒),南入户,绿地300平,临景观带,三室南向",独栋|卧室：7个|297.46㎡|南向|赵新新,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,56478元/㎡,1680万
北京,海淀区安宁庄上林溪1室1厅,1室1厅|44.3㎡|中层（共9层）|南北向|2013年建|牛艳菁,"上林溪安宁庄-(海淀)安宁庄东路,安宁华庭",115124元/㎡,510万
北京,远洋傲北二期精装电梯联排别墅5室3厅拎包入住南北绿地100平,独栋|卧室：5个|390.82㎡|南向|周岩,远洋傲北别墅北七家-北七家立汤路39号,37357元/㎡,1460万
北京,御汤山 精装修D户型 温泉入户 业主着急出售 随时看房签约,独栋|卧室：3个|300㎡|南向|唐政,御汤山小汤山-御汤山,53000元/㎡,1590万
北京,"(新上房源)远洋傲北优质联排别墅,精装修,私家电梯,有双车位",独栋|卧室：4个|374.07㎡|南向|周岩,远洋傲北别墅北七家-北七家立汤路39号,40901元/㎡,1530万
北京,"御汤山,精装独栋,B户型,北入户,紧邻绿地中心公园,看房方便",独栋|卧室：6个|455.27㎡|南向|赵新新,御汤山小汤山-御汤山,43929元/㎡,2000万
北京,远洋傲北别墅新出房源 两排中户带挑空 南排大院,独栋|卧室：7个|366.37㎡|南向|李革,远洋傲北别墅北七家-北七家立汤路39号,40942元/㎡,1500万
北京,"金隅上城郡宽墅联排中间户,基础装修,看房方便",独栋|卧室：3个|265.97㎡|南向|周岩,金隅上城郡北七家-(昌平)北亚花园东路,45117元/㎡,1200万
北京,橘郡精装联排 挑空客厅 业主降价急售!,独栋|卧室：5个|210.48㎡|南向|李敏,橘郡小汤山-亚运村正北方向16公里,52261元/㎡,1100万
北京,"北七家金隅上城郡4室小联排,南北通透,北入户,看房随时",独栋|卧室：4个|213.65㎡|南向|张丽,金隅上城郡北七家-(昌平)北亚花园东路,46758元/㎡,999万
北京,"新上御汤山熙园,边户,景观位置,绿地300平随时看房",独栋|卧室：8个|455.27㎡|南向|纪倩倩,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,37340元/㎡,1700万
北京,这房子真的好!世纪城时雨园双明卫+南向全落地窗+采光好安静,3室2厅|165㎡|低层（共21层）|西南向|2017年建|王景好,世纪城时雨园世纪城-蓝靛厂中路长春桥北300米,100606元/㎡,1660万
北京,"橘郡独栋 临河而居 精装拎包入住 ,北入户,可谈,随时看",独栋|卧室：6个|353.61㎡|南向|赵新新,橘郡小汤山-亚运村正北方向16公里,59387元/㎡,2100万
北京,主推好房 双卧朝南 大三居 餐客分离 带明卫 车位 视野好,3室2厅|178.87㎡|高层（共15层）|南北向|2004年建|张娇娜,上河村世纪城-远大路与远大东路交汇东南角,138648元/㎡,2480万
北京,"售楼处直售,朝阳区精装独栋别墅,拎包入住,随时看房!",独栋|卧室：7个|690㎡|南向|陈莉,懋源璟玺孙河-京密路与京平辅路交叉口西行1000米,96608元/㎡,6666万
北京,潮白河旁 中建智地 精装洋房120平3居,3室2厅|120㎡|高层（共5层）|南向|2024年建|胥自强,中建宸庐马坡-中建宸庐,40750元/㎡,489万
北京,"新出(采光超棒),南入户,绿地300平,临景观带,三室南向",独栋|卧室：7个|297.46㎡|南向|纪盼盼,御汤山熙园小汤山-皇家汤泉行宫原址顺沙路99号院,56478元/㎡,1680万
北京,"新出,电梯别墅,金隅上城郡,全新精装,诚售",独栋|卧室：3个|232.06㎡|南向|周岩,金隅上城郡北七家-(昌平)北亚花园东路,41368元/㎡,960万
北京,"御汤山新出G户型,南入户多厅设计,绿地500平,四间卧室朝南",独栋|卧室：7个|396.92㎡|南向|纪倩倩,御汤山小汤山-御汤山,52907元/㎡,2100万
北京,"望京北侧两公里,单层面积200平的精装独栋别墅,南入户南花园",独栋|卧室：6个|280㎡|南向|马磊洋,观唐别墅来广营-观唐东路1号,142821元/㎡,3999万
北京,"园区中心位置,法式I户型,子母房设计,绿地450平米,有钥匙",独栋|卧室：4个|375.27㎡|南向|周岩,御汤山小汤山-御汤山,45274元/㎡,1699万
北京,"边户开阔位置,装修维护特别好,南向挑高客厅,绿地面积大。",独栋|卧室：3个|282.14㎡|南向|周岩,纳帕溪谷小汤山-小汤山镇顺沙路68号(近葫芦河),46076元/㎡,1300万
北京,"金隅上城郡联排别墅,精装修,没住过,室内电梯,全新家具家电",独栋|卧室：5个|210.19㎡|南向|李敏,金隅上城郡北七家-(昌平)北亚花园东路,46862元/㎡,985万
北京,"精装D户型,三间南向套房,装修维护好,看房有钥匙",独栋|卧室：6个|300.01㎡|南向|李敏,御汤山小汤山-御汤山,52998元/㎡,1590万
北京,"新上好房源!好位置不临街,联排南北双花园带大路台,现房随时看",独栋|卧室：4个|310.76㎡|东向|马世杰,北京合院顺义城-燕京街与通顺路交汇口东800米(仁和公园南),41189元/㎡,1280万
北京,"纳帕溪谷新出四期廊院东边户位置好,户型明亮,南花园400平米",独栋|卧室：3个|391.75㎡|南向|李开敏,纳帕溪谷小汤山-小汤山镇顺沙路68号(近葫芦河),44671元/㎡,1750万
北京,"(新上房源)远洋傲北优质联排别墅,精装修,私家电梯,有双车位",独栋|卧室：4个|374.07㎡|南向|韩丽丽,远洋傲北别墅北七家-北七家立汤路39号,40901元/㎡,1530万
北京,南客厅南花园 新装次新房 拎包住 7米挑空 仅契税 总.价低,独栋|卧室：7个|370.74㎡|南向|周岩,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,42617元/㎡,1580万
北京,"北辰红橡墅大联排边户,一层有卧室,看房方便,业主诚意出售",独栋|卧室：5个|430.78㎡|南向|李敏,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,30154元/㎡,1299万
北京,晴雪园临绿化带眼镜房+视野景观很哇塞+双通透+钥匙房+价可刀,3室2厅|164.48㎡|低层（共10层）|南北向|2017年建|王景好,"世纪城晴雪园世纪城-蓝靛厂中路,火器营地铁站西侧",142874元/㎡,2350万
北京,精装电梯大独栋 南向大面宽 双车库 随时看房,独栋|卧室：10个|515.39㎡|南向|张丽,麦卡伦地北七家-小汤山镇立汤路38号,42298元/㎡,2180万
北京,"精装D户型,三间南向套房,装修维护好,看房有钥匙",独栋|卧室：6个|300.01㎡|南向|赵新新,御汤山小汤山-御汤山,52998元/㎡,1590万
北京,南客厅南花园 新装次新房 拎包住 7米挑空 仅契税 总.价低,独栋|卧室：7个|370.74㎡|南向|李敏,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,42617元/㎡,1580万
北京,"北五环精装电梯别墅,联排边户,英伦风格,紧邻小区公园环境优美",独栋|卧室：4个|216.84㎡|南向|李敏,金隅上城郡北七家-(昌平)北亚花园东路,53034元/㎡,1150万
北京,世纪城人文时雨园高层三居+厅双卧南+全屋采光+双卫+急售超值,3室2厅|130㎡|高层（共21层）|南向|2022年建|王景好,世纪城时雨园世纪城-蓝靛厂中路长春桥北300米,121538元/㎡,1580万
北京,"北辰红橡墅大联排边户,一层有卧室,看房方便,业主诚意出售",独栋|卧室：5个|430.78㎡|南向|赵新新,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,30154元/㎡,1299万
北京,"二期SF户型,大面宽独栋,五室三间朝南,有钥匙",独栋|卧室：4个|363.42㎡|南向|纪倩倩,纳帕溪谷小汤山-小汤山镇顺沙路68号(近葫芦河),37422元/㎡,1360万
北京,"纳帕溪谷新出独栋别墅,户型好,花园大,靠谱急售可议",独栋|卧室：6个|325.41㎡|南向|纪倩倩,纳帕溪谷小汤山-小汤山镇顺沙路68号(近葫芦河),44866元/㎡,1460万
北京,"北辰红橡墅,北入户东边户大联排,采光好,满两年只有契税",独栋|卧室：3个|370.76㎡|南向|周岩,北辰红橡墅北七家-(昌平)立汤路与温榆河交界处,33714元/㎡,1250万
北京,凯德麓语 纯别墅社区19年法式 前二后三双首层 绿地400平,独栋|卧室：7个|744.63㎡|南向|赵新新,凯德麓语昌平其它-京承高速G11出口向西怀昌路北侧,38676元/㎡,2880万
城市,标题,房源信息描述,房源位置信息,单价,房总款
北京,"边户开阔位置,装修维护特别好,南向挑高客厅,绿地面积大。",独栋|卧室：3个|282.14㎡|南向|周岩,纳帕溪谷小汤山-小汤山镇顺沙路68号(近葫芦河),46076元/㎡,1300万
北京,"纳帕溪谷新出独栋别墅,户型好,花园大,靠谱急售可议",独栋|卧室：6个|325.41㎡|南向|纪倩倩,纳帕溪谷小汤山-小汤山镇顺沙路68号(近葫芦河),44866元/㎡,1460万
北京,"园区中心位置,法式I户型,子母房设计,绿地450平米,有钥匙",独栋|卧室：4个|375.27㎡|南向|周岩,御汤山小汤山-御汤山,45274元/㎡,1699万
北京,"97下跃 使用230平 407万,户型方正,房源有限先到先得",3室2厅|95㎡|高层（共6层）|南向|2016年建|刘克学,和锦华宸马坡-乾安路与大营二街交汇处,42842元/㎡,407万
北京,"新出,电梯别墅,金隅上城郡,全新精装,诚售",独栋|卧室：3个|232.06㎡|南向|周岩,金隅上城郡北七家-(昌平)北亚花园东路,41368元/㎡,960万
