城市,标题,房源信息描述,房源位置信息,单价,房总款
天津,无费用 公产 和平二片 中心小學 有學籍,2室1厅|15.69㎡|底层（共2层）|南北向|于万丽,长春道小区劝业场街-长春道248号,152963元/㎡,240万
天津,全包好房 和平三片 新华南路 公产 可贷款,1室0厅|26.9㎡|底层（共3层）|东向|2017年建|于万丽,民园东里体育馆街-大理道8号,61710元/㎡,166万
天津,免中阶免过户 万全双选 面积足 集体户口可落户 可公易贷,1室0厅|16.95㎡|底层（共1层）|南北向|于万丽,平仪里南市-和平区荣安街平仪里6号,116814元/㎡,198万
天津,国企好赞房源 和平二片中心小學 公产可公易贷 钥匙房 随时看,1室1厅|18.24㎡|顶层（共5层）|南北向|于万丽,复元里南营门--昆明路39号,128837元/㎡,235万
天津,国企好赞无费用 和平一片 万全有座位 公产可公易贷 钥匙房,1室1厅|20.05㎡|顶层（共2层）|南北向|于万丽,蒙古路劝业场街-(和平)和平区蒙古路,102244元/㎡,205万
天津,国企好赞无费用好房 公产 和平二片 岳阳道小學 钥匙房随时看,1室1厅|11.26㎡|底层（共2层）|南北向|于万丽,有声里体育馆街-睦南道105号,246891元/㎡,278万
天津,国营①个点 和平二片 岳阳道有座 低楼层南北向一室,1室1厅|27.93㎡|低层（共3层）|南北向|于万丽,有声里体育馆街-睦南道105号,100250元/㎡,280万
天津,全包好房 和平三片 昆明路 公产 南北通透 可贷款,2室1厅|38㎡|顶层（共6层）|南北向|于万丽,四达里新兴街-昆明路与沙市道交口南侧,72368元/㎡,275万
天津,无费用 和平二片 公产 中心有座 超大露台,2室1厅|30㎡|顶层（共3层）|南北向|于万丽,长春道小区劝业场街-长春道248号,79333元/㎡,238万
天津,兴云里 电梯2居 南北向简装修 方便看房 3楼3楼3楼,2室1厅|84.67㎡|中层（共7层）|南北向|2018年建|侯震东,兴云里广开街-西营门大街9号,32715元/㎡,277万
天津,南北通透全运村云实园3室2厅精装修,3室2厅|120.52㎡|顶层（共23层）|南北向|2015年建|齐玉江,全运村云实园东海街-洞庭路与渌水道交口,36093元/㎡,435万
天津,广云花园 中芥1% 五马路小? 3楼 白菜价格 急售,2室2厅|99.33㎡|中层（共6层）|东西向|2006年建|张广丽,"广云花园广开街-广开四马路与广开南街交口,南开区教育局对面",33121元/㎡,329万
天津,紫光苑 2室1厅 74.87平,2室1厅|74.87㎡|低层（共7层）|南北向|2006年建|张广丽,紫光苑兴南街-南门外大街与荣安大街交口,35928元/㎡,269万
天津,首创禧瑞府现房叠拼 带地下室 带小院 电梯直接入户,4室1厅|168㎡|底层（共3层）|南北向|2018年建|刘占元,龙湖首创禧瑞郦城中北镇-中北镇阜锦道与金霞路交口西北侧,33035元/㎡,555万
天津,和平一片 鞍山道有位置 产权清晰 可贷款 独立厨房带阳台,1室0厅|18㎡|顶层（共2层）|南北向|于万丽,沈阳道小区劝业场街-沈阳道与辽宁路交口,76666元/㎡,138万
天津,风荷新园 中芥1% 洋房五马路小學 拎包入住 急卖,2室2厅|91.14㎡|高层（共7层）|南北向|2006年建|张广丽,风荷新园广开街-西市大街35号,35110元/㎡,320万
天津,免 苚 好 房 鞍山道有學籍 2楼公产 350万办齐,2室1厅|51㎡|低层（共3层）|南北向|1980年建|于万丽,文通里劝业场街-宁夏路文通里小区,68627元/㎡,350万
天津,中介fei百分之120付小片2楼全明两室在家能看见61中操场,2室1厅|65㎡|中层（共4层）|南北向|1990年建|孙丽娟,青岛道小白楼街-天津市和平区小白楼,51538元/㎡,335万
天津,大直沽地铁站 2楼阳面47万全包 集体户可 老人居住,1室1厅|24.24㎡|低层（共6层）|南北向|1995年建|仲麒,大直沽前街小区大直沽-河东区大直沽前街与大直沽中路交口,19389元/㎡,47万
天津,"yong今1%,宇正园洋房,紧邻DT站,南北通透三室",3室2厅|139.9㎡|低层（共13层）|南北向|2006年建|孟凡超,宇正园广开街-黄河道146号,37526元/㎡,525万
天津,"中介fei百分之1,西康路小學片三片全阳两室不着急卖",2室1厅|55㎡|中层（共6层）|南北向|1990年建|孙丽娟,和平区迎春里新兴街-西康道与宜昌路交口,40000元/㎡,220万
天津,万科新梅江柏翠园 直降万 156平3居 南北向豪华装修,3室2厅|156㎡|中层（共11层）|南北向|张飞,万科新梅江柏翠园梅江-太湖路解放南路新梅江太湖路公园与卫津河公园旁,31730元/㎡,495万
天津,"中介fei百分之1,新星小學片电梯复式上下两层86㎡民水民电",1室2厅|43.15㎡|低层（共20层）|南北向|2015年建|孙丽娟,瑞竹大厦南营门-和南京路239号,48667元/㎡,210万
天津,先春园隆春里 钻石2楼 中芥1% 业主急卖 价格可谈,2室1厅|87.19㎡|低层（共6层）|南北向|2006年建|张广丽,先春园隆春里芥园道-红桥区芥园道与复兴路交口,28214元/㎡,246万
天津,拥金1 汇福华庭次顶!我是维护人知道底价! 南北通透H户型!,2室1厅|108.65㎡|顶层（共9层）|南向|2017年建|张哲,汇福华庭兴南街-南门外大街与南开二马路交口,47399元/㎡,515万
天津,生态城 博与海 精装交房 单价低 低密度 目送式单价8K靠谱,3室2厅|108㎡|底层（共7层）|南北向|2018年建|张伟,博屿海中新生态城-生态城北区中新大道与中海大道交汇,8148元/㎡,88万
天津,中海招商十里观澜 3室2厅1卫 毛坯 290万元,3室2厅|96.04㎡|低层（共28层）|南北向|2023年建|刘占元,中海招商十里观澜新开河-天泰路与富运道交口,30195元/㎡,290万
天津,房子属于精装两居可以拎包入住 房子没怎么住 随时看房急售,2室1厅|81.77㎡|顶层（共15层）|南向|2017年建|朱显晶,世茂璟苑中新生态城-和惠路11号,13452元/㎡,110万
天津,吉宝 季景峰阁 生态城精装二居室户型好采光视野好价位可谈,2室1厅|82㎡|中层（共31层）|南向|2017年建|朱显晶,季景峰阁中新生态城-和风路与和畅路交口。,13414元/㎡,110万
天津,生态城荣馨园豪装大三居中间楼层有车位户型方正有钥匙随时看,3室2厅|144.6㎡|低层（共18层）|南北向|2017年建|朱显晶,荣馨园中新生态城-和风路764号,13139元/㎡,190万
天津,中芥1% 兴泰园 新登记房源 大三居室 精装修 随时看房,3室1厅|110.78㎡|中层（共6层）|南北向|2006年建|张广丽,兴泰园万兴街-兴泰里2号,37822元/㎡,419万
天津,新房加30分 电梯洋房 88平三室62万 找我买房有优惠,3室1厅|88㎡|高层（共8层）|南北向|2020年建|张伟,雅居乐滨河雅郡中新生态城-中新生态城中生大道与泰九路交口,7045元/㎡,62万
天津,.新房 现房现房 加30分新政策落地可以直接来天津罗湖了.,1室1厅|52㎡|中层（共6层）|南向|2006年建|李爱军,海阔苑北塘-天津市滨海新区天池路海阔苑,6153元/㎡,32万
天津,拥金1 三潭东里1楼赠小院!南开小学Z哇塞的精装1室!嘎嘎棒,1室1厅|40.82㎡|底层（共7层）|北向|2018年建|张哲,三潭东里万兴街-南开区鞍山西道与三潭路交口东北角,31847元/㎡,130万
天津,南北通透海逸长洲恋海园4室2厅,4室2厅|201.74㎡|低层（共26层）|南北向|2010年建|齐忠将,海逸长洲恋海园李七庄-友谊南路与绥江道交口西南侧,28006元/㎡,565万
天津,竹径里 单价低 次顶楼 南北通透 中芥1% 急卖,2室1厅|85.6㎡|高层（共6层）|南北向|2006年建|张广丽,竹径里万兴街-西湖村大街42号增1号,24415元/㎡,209万
天津,眞实房源改善必看好房季景兰庭大三居万科物业绿化随时看房,3室2厅|130㎡|低层（共13层）|南北向|2017年建|朱显晶,吉宝季景兰庭中新生态城-吉宝季景兰庭,14615元/㎡,190万
天津,新兴里 2室1厅1卫 简装 340万元 64.36平米,2室1厅|64.53㎡|中层（共4层）|南北向|2018年建|李凤超,新兴里新兴街-福建路284号,51913元/㎡,335万
天津,生态城首付低 南北通透三室洋房 精装修 低价出售 收藏,3室2厅|89㎡|底层（共6层）|南向|2006年建|陈浩,雅居乐滨河雅郡中新生态城-中新生态城中生大道与泰九路交口,8764元/㎡,78万
天津,"风荷园 批商品房,中间楼层,南北通透阳面厅H户型",2室2厅|100.99㎡|高层（共7层）|南北向|孟凡超,风荷园万兴街-西湖道与白堤路交口西侧,31191元/㎡,315万
天津,私产满五年 一楼三室 看房随时 诚心出售{拥今百一},3室1厅|104.05㎡|低层（共7层）|南北向|2006年建|孟凡超,广灵里长虹街-临潼路与长江道交口北侧,25180元/㎡,262万
天津,急售电梯洋房 南北通透 首创福缇山香堤苑 3室2厅 精装修,3室2厅|103.19㎡|高层（共11层）|南北向|2006年建|刘文斌,首创福缇山香堤苑双港镇-首创福缇山香堤苑,20060元/㎡,207万
天津,中芥1% 凯兴天宝 不到顶三室 业主急售 位置好 五马路,3室2厅|140.03㎡|顶层（共6层）|西北向|2017年建|邢滨书,凯兴天宝公寓广开街-南开区广开四马路与天宝路交口,29422元/㎡,412万
天津,万科东第 3室2厅 123.09平,3室2厅|123.09㎡|中层（共10层）|南北向|2006年建|高明士,万科东第李七庄-卫津南路西侧中医一附院(南院)旁,33715元/㎡,415万
天津,亲民中介 拥金1 兴华公寓 3楼 商品房 南北通透 开间大,2室1厅|116.22㎡|中层（共6层）|南北向|2017年建|侯志超,兴华公寓万兴街-南丰路54号,36138元/㎡,420万
天津,中芥1%宇正园 房龄新 电梯洋房 出门地铁站 九年一贯制,2室1厅|111.36㎡|中层（共11层）|南向|2017年建|邢滨书,宇正园广开街-黄河道146号,38882元/㎡,433万
